green_red,dose,count
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.2,20,LOW
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.4,20,HIGH
2.4,20,HIGH
2.3,20,HIGH
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
3.2,20,LOW
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.3,20,LOW
2.2,20,MID
2.3,20,HIGH
4.4,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
3.2,25,LOW
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
4.3,25,LOW
4.4,25,MID
2.2,25,MID
2.2,25,MID
4.4,25,MID
2.2,25,MID
3.2,25,LOW
4.4,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.3,25,MID
2.2,25,MID
2.3,25,HIGH
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
3.3,25,MID
2.2,25,MID
3.4,25,HIGH
4.4,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
4.4,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
4.4,25,MID
4.4,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
3.3,30,MID
2.2,30,MID
3.2,30,LOW
2.2,30,MID
2.3,30,HIGH
2.2,30,MID
2.2,30,MID
2.2,30,MID
