green_red,dose,count
3.2,5,LOW
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.3,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.3,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
4.4,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.4,5,HIGH
3.4,5,HIGH
2.2,5,MID
3.2,5,LOW
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
4.3,5,LOW
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
3.3,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.3,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
4.2,5,LOW
2.2,5,MID
3.3,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
4.2,10,LOW
2.2,10,MID
3.3,10,MID
2.2,10,MID
2.2,10,MID
3.3,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.2,10,LOW
4.2,10,LOW
4.4,10,MID
2.3,10,HIGH
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
5.5,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
3.3,10,MID
4.4,10,MID
2.2,10,MID
3.4,10,HIGH
4.4,10,MID
2.2,10,MID
2.2,10,MID
3.3,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
4.4,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
3.3,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
3.2,10,LOW
2.2,10,MID
4.4,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.6,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
4.4,10,MID
4.2,10,LOW
4.4,10,MID
3.3,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
2.2,10,MID
2.2,10,MID
4.4,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
5.3,10,LOW
3.2,10,LOW
2.2,15,MID
4.4,15,MID
4.4,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
4.4,15,MID
2.2,15,MID
2.2,15,MID
4.4,15,MID
2.2,15,MID
3.3,15,MID
2.2,15,MID
2.2,15,MID
4.4,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
5.5,15,MID
2.2,15,MID
2.2,15,MID
2.4,15,HIGH
3.3,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.3,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.3,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.3,15,HIGH
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.4,15,HIGH
2.3,15,HIGH
2.2,15,MID
2.2,15,MID
2.2,15,MID
4.2,15,LOW
4.4,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
4.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.3,15,MID
2.2,15,MID
4.4,15,MID
2.2,15,MID
3.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.3,15,HIGH
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.3,15,MID
2.2,15,MID
4.2,15,LOW
3.2,15,LOW
2.2,15,MID
4.4,15,MID
2.2,15,MID
2.2,15,MID
4.2,15,LOW
3.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.5,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.2,20,LOW
2.2,20,MID
2.2,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.4,20,MID
4.4,20,MID
2.3,20,HIGH
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.4,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
4.4,20,MID
2.2,20,MID
3.2,20,LOW
2.2,20,MID
2.2,20,MID
4.2,20,LOW
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
