type	Score
0	86.3022793
0	96.85409841
0	64.26779998
0	70.56839748
0	69.59886173
0	49.48583536
0	42.02235017
0	21.0202503
0	69.74830834
0	44.80174282
0	88.62925723
0	74.98376345
0	113.9164661
0	109.3163082
0	106.5101999
0	119.8957746
0	99.39599775
0	100.9923921
0	65.2178439
0	107.0255407
0	35.69846269
0	101.3970914
0	77.15365221
0	103.0421955
0	72.37406511
0	74.14561543
0	92.30794441
0	71.40240635
0	94.38430033
0	43.87953017
0	146.9605336
0	86.27684784
0	109.4395929
0	119.6960936
0	75.89903118
0	48.43599647
0	42.49614207
0	77.03968025
0	114.4509962
0	102.7678737
0	69.08888447
0	91.68232408
0	96.68102293
0	62.79759997
0	68.79531931
0	91.05515503
0	44.01013415
0	100.1376402
0	49.10677232
0	112.433525
0	132.8867068
0	130.7886376
0	62.3249254
0	60.45349159
0	76.79868917
0	35.22093855
0	90.5549691
0	80.30999654
0	25.52018565
0	59.0911632
0	46.23555967
0	76.22315087
0	20.73699857
0	70.58341122
0	85.44630402
0	107.1460307
0	47.22671355
0	104.8828283
0	65.14092068
0	27.69602579
0	60.32688385
0	89.72222042
0	84.12479576
0	129.6482816
0	81.94375975
0	101.2754776
0	119.1697061
0	68.87630135
0	123.2566138
0	147.5097139
0	101.1754753
0	110.2328254
0	61.39952451
0	126.8859759
0	125.482775
0	93.30058566
0	120.8088758
0	78.55787075
0	127.9994318
0	116.3233015
0	94.92320332
0	67.37014913
0	83.14327845
0	144.4070244
0	96.65686575
0	75.2662702
0	106.4383203
0	79.72775051
0	73.73776606
0	95.01773237
0	57.9061455
0	84.59104406
0	78.40548326
0	88.15380766
0	101.276769
0	56.41640892
0	84.9709045
0	68.1867358
0	113.7214396
0	102.243001
0	70.51431332
0	104.1856785
0	92.04350971
0	106.5444675
0	93.38156771
0	51.84175852
0	72.81989685
0	113.2912127
0	81.93945956
0	121.1188035
0	56.03943617
0	83.70418016
0	30.6736839
0	75.45255541
0	81.2449169
0	41.41546658
0	121.5327707
0	120.2914773
0	119.8957746
0	129.415197
0	141.9338617
0	108.431518
0	94.65705842
0	93.32342525
0	118.553723
0	98.97198204
0	122.4707827
0	87.47859568
0	149.8518028
0	79.86327445
0	75.64395102
0	64.97959666
0	98.66864537
0	136.6067732
0	115.5330813
0	110.5654026
0	106.0181443
0	131.7602242
0	89.43832177
0	111.4502087
0	76.12604196
0	111.1306747
0	62.30974522
0	62.64861893
0	90.8351262
0	70.05618037
0	104.5711486
0	94.47638275
0	80.23707282
0	76.40988057
